"state_abbr","state_fips","place_fips","stpl_fips","city_name","metric_name","group_name","metric_number","group_number","num","denom","est","lci","uci","county_indicator","educ_indicator","multiplier_indicator","data_yr_type","geo_level","date_export","version","NOTE - NCHS Disclaimer","Suggested Citation"
NY,36,33139,3633139,Hempstead,Binge drinking,total population,3,1,-999,-999,15.1,14.9,15.3,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Binge drinking,total population,3,1,-999,-999,14.2,14.1,14.3,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Binge drinking,total population,3,1,-999,-999,16.4,16.2,16.6,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Binge drinking,total population,3,1,-999,-999,17.5,17.5,17.5,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Binge drinking,total population,3,1,-999,-999,17.6,17.5,17.7,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Binge drinking,total population,3,1,-999,-999,17,16.8,17.2,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Binge drinking,total population,3,1,-999,-999,18,17.9,18.1,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Binge drinking,total population,3,1,-999,-999,14.9,14.8,15,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Binge drinking,total population,3,1,-999,-999,16.6,16.5,16.7,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Binge drinking,total population,3,1,-999,-999,15.7,15.6,15.8,-999,-999,-999,"2018, 1 Year Modeled Estimate",city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Children in Poverty,total population,4,1,5237,16675,31.4,27.4,35.4,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Children in Poverty,total population,4,1,26205,56997,46,44.1,47.9,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Children in Poverty,total population,4,1,3927,14412,27.2,24,30.5,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Children in Poverty,total population,4,1,2581,13462,19.2,16.2,22.2,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Children in Poverty,total population,4,1,2127,15987,13.3,10.6,16,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Children in Poverty,total population,4,1,433330,1724384,25.1,24.9,25.4,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Children in Poverty,total population,4,1,21970,46094,47.7,45.9,49.4,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Children in Poverty,total population,4,1,3996,13054,30.6,26.5,34.7,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Children in Poverty,total population,4,1,13761,30037,45.8,43.7,48,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Children in Poverty,total population,4,1,6538,14584,44.8,41.6,48.1,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Children in Poverty,total population,4,1,1795,10758,16.7,12.8,20.5,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Children in Poverty,total population,4,1,9320,42470,21.9,19.8,24.1,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Children in Poverty,asian,4,4,51,1292,3.9,0,9.1,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Children in Poverty,asian,4,4,2917,5236,55.7,51.1,60.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Children in Poverty,asian,4,4,0,112,0,0,61.2,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Children in Poverty,asian,4,4,6,167,3.6,0,41.4,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Children in Poverty,asian,4,4,255,786,32.4,15.2,49.7,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Children in Poverty,asian,4,4,40456,207782,19.5,18.7,20.2,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Children in Poverty,asian,4,4,267,1088,24.5,16.5,32.6,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Children in Poverty,asian,4,4,253,949,26.7,6.5,46.8,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Children in Poverty,asian,4,4,690,1884,36.6,27.7,45.6,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Children in Poverty,asian,4,4,1114,2561,43.5,35.8,51.2,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Children in Poverty,asian,4,4,140,581,24.1,8.7,39.5,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Children in Poverty,asian,4,4,480,2322,20.7,11.8,29.6,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Children in Poverty,black,4,5,3014,7255,41.5,35.2,47.8,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Children in Poverty,black,4,5,12623,24089,52.4,49.2,55.6,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Children in Poverty,black,4,5,1298,5478,23.7,19.3,28.1,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Children in Poverty,black,4,5,1536,8478,18.1,14.6,21.6,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Children in Poverty,black,4,5,631,3052,20.7,13.7,27.6,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Children in Poverty,black,4,5,127112,437000,29.1,28.5,29.7,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Children in Poverty,black,4,5,12701,24273,52.3,49.6,55.1,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Children in Poverty,black,4,5,1529,3725,41,32.8,49.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Children in Poverty,black,4,5,6943,13370,51.9,48.7,55.2,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Children in Poverty,black,4,5,1868,2721,68.7,61.6,75.7,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Children in Poverty,black,4,5,97,858,11.3,4.1,18.5,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Children in Poverty,black,4,5,2576,9458,27.2,22.1,32.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Children in Poverty,hispanic,4,6,1494,2706,55.2,45.1,65.4,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Children in Poverty,hispanic,4,6,5647,10898,51.8,47.5,56.1,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Children in Poverty,hispanic,4,6,2457,8348,29.4,25.1,33.7,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Children in Poverty,hispanic,4,6,979,3597,27.2,19.3,35.1,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Children in Poverty,hispanic,4,6,1122,6242,18,12.7,23.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Children in Poverty,hispanic,4,6,200498,604783,33.2,32.6,33.7,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Children in Poverty,hispanic,4,6,6585,13480,48.9,45.6,52.1,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
